*** 1 - 15 (/course/66669/1-5000-arabic-frequency-audio/1/)	
الـ	The
و	"And, with (not فـ)"
في	"In, inside"
مِن	"From, since (not عن)"
لـ	"For, to"
بـ	"With, by  (not عند ,لدى or مع)"
على	"On, above"
أنّ	conj. That (not إنّ )
إلى	"To, towards; till, until"
كان	To be
لا	"No, not (not ما)"
الله	"God, Allah"
أن	"That, to (conj.) (not إنّ )"
عن	"From, about (not مِن)"
قال	"to say, tell"
*** 16 - 30 (/course/66669/1-5000-arabic-frequency-audio/2/)	
هذا	This (dem. pron.)
مع	"With (not عند ,بـ or لدى)"
الّتي	"Who, whom, which (fem. sg., rel. pron.)"
كلّ	"Each, every, all (not جميع)"
هو	"He, it"
فـ	"And, so (not و)"
هذه	This (fem.)
أو	Or (not أم)
الّذي	"Who, whom, which (masc. sg., rel. pron.)"
أنا	I
يوم	Day
لم	neg.part. Did not
ما (neg.)	"Not (not لا، لم)"
إنّ	conj. That (not أن)
ما (rel. pron.)	"What, whatever, that which (rel. pron.)"
*** 31 - 45 (/course/66669/1-5000-arabic-frequency-audio/3/)	
بـ	(Dia.) Continuous or habitual action
بين	"Between, among"
هي	"She, it"
بعد	After
يا	"oh, O"
ذلك	"dem.pron. That (masc. sg.,)"
قد	"has, have already (with perf.) (not لقد)"
آخر	"Other, another, one more (not سوى)"
شيء	"Thing, something (not حاجة)"
عند	"With, next to, at (not ب)"
أوّل	"First, best"
غير	"Other than, different than, not (not سوى / آخر / إلا)"
إذا	"conj. When, IF, whenever (not لمّا, عندما or حين or إن)"
نفس	"Same, self"
عربيَ	"Arab, Arabian, Arabic"
*** 46 - 60 (/course/66669/1-5000-arabic-frequency-audio/4/)	
أيّ	"Any, which (interrog.), whatever, whoever (rel. pron.)"
رئيس	"President, leader, head, main, chief, principal"
عمل	"Working, work, activity, action (not شغل)"
عرف	to know (not علم or درى)
بعض	"Some, several"
دولة	"State, country"
كما	"Also, just like, as well (not أيضًا, كذلك)"
إلّا	"Except for, save (not سوى / غير)"
أنت	You (masc. sg.)
كثير	"Many, much, numerous, a lot (not عديد)"
واحد	"One, single (not أحد)"
لأنّ	Because
لكنّ	"However, but"
ليس	To be not
جديد	"New, modern (not حديث)"
*** 61 - 75 (/course/66669/1-5000-arabic-frequency-audio/5/)	
إن	"If, whether (not إذا)"
عام	Year (not سنة)
أحد	"One (of), someone, anyone, nobody (with neg.) (not واحد)"
أكثر	"More, most"
كبير	"Large, great, senior, adult, major"
أخ	Brother
كيف	How
قبل	Before
سنة	Year (not عام)
أمر	"Matter, issue, concern, affair (not شأن, مسألة خصوص)"
قوّة	"Power, strength, force"
هل	"(interrogation), ? (not أ)"
خلال	"during, through (not عبر, أثناء)"
مرّة	"Time (once, twice, etc.), moment, occasion"
رأى	"to see, think, believe (not شاف)"
*** 76 - 90 (/course/66669/1-5000-arabic-frequency-audio/6/)	
أب	Father (not والد)
هناك	"There, over there, there is, there are"
