*** 1 - 25 (/course/66563/koine-greek-3/1/)	
ὁ 	"the, who, which"
καί	"and, also, even, and yet, but"
αὐτός	"he, she, it; self, same; they (when pl)"
σύ	you; you people (when pl)
ἐν	"(+dat) in, with, by, to"
ἐγώ	I
δέ	"but, and, now"
εἰμί	"to be, exist (sum)"
λέγω	"to say, speak, tell"
εἰς	"(+acc) into, to, for (prep)"
οὐ	not
ὅς	"who, which, what"
οὗτος	"this, this one, he"
ὁ θεός	"god, God"
ὅτι	"that, because, since; why?"
πᾶς	"all, every; the whole"
γάρ	"for, since, then, indeed"
μή	"not, lest"
ὁ Ἰησοῦς	Jesus; Joshua
ἐκ	"(+gen) of, out of, from"
ἐπί	"(+gen/dat/acc) over, on, at the time of, at, to"
καί	"and, also, even, and yet, but"
ὁ κύριος	"(n) lord, master, the Lord"
ἔχω	to have
πρός	"(+gen) for; (+dat) at; (+acc) to, toward; (adv) moreover"
*** 26 - 50 (/course/66563/koine-greek-3/2/)	
γίνομαι	"to become, be, be born, be created"
διά	(+gen) through; (+acc) because of
ἵνα	"that, in order that, so that"
ἀπό	"(+gen) from, by, since"
ἀλλά	"but, rather, on the contrary"
ἔρχομαι	"to come, go"
ποιέω	"to do, make; to work"
τίς	who? what? why?
ὁ ἄνθρωπος	"man, human"
ὁ Χριστός	Christ
τις	"a certain, a, one"
οὖν	"therefore, thus"
εἰ	if; whether
κατά	"(+gen) against, down; (+acc) according to"
μετά	(+gen) with; (+acc) after
ὁράω	"to see, view, perceive, pay attention"
ἀκούω	"to hear, to heed, to obey"
δίδωμι	to give
ὁ πατήρ	"father, Father"
πολύς	"much, many"
ἡ ἡμέρα	"day, lifetime, time period"
τὸ πνεῦμα	"wind; breath; spirit, Spirit"
ὁ υἱός	son
εἷς	one
ὁ ἀδελφός	"brother; (adj) brotherly, twin"
*** 51 - 75 (/course/66563/koine-greek-3/3/)	
ἤ	"or, than, either/or; hey! say now!"
περί	"(+gen) about, concerning; (+acc) around"
ὁ λόγος	"word, speech, message; book, volume"
ἑαυτοῦ	"of himself, his own"
οἶδα	to know
ὡς	"as, like, while, that; (interjection) how!"
λαλέω	to speak
ἐάν	if
ὁ οὐρανός	heaven
ἐκεῖνος	"that, that one, he"
ὁ μαθητής	"disciple, student"
λαμβάνω	"to take, receive, choose"
ἡ γῆ	"earth, land"
ἡ πίστις	"faith, belief, trust; value; proof"
μέγας	"great, large, old"
πιστεύω	"to believe, trust"
ἅγιος	holy
ἀποκρίνομαι	"to answer, reply"
τὸ ὄνομα	name
οὐδείς	"no one, nothing"
γινώσκω	"to know, come to know, recognize"
ὑπό	"(+gen) by, from; (+acc) under"
ἐξέρχομαι	"to come out, go out"
ὁ ἀνήρ	"man, husband"
ἡ γυνή	"woman, wife"
*** 76 - 100 (/course/66563/koine-greek-3/4/)	
τέ	"and, so, both/and"
δύναμαι	to be able
θέλω	"to want, will"
οὕτως	"thus, so, in this way"
ἰδού	note! pay attention! look!
εἰσέρχομαι	to enter
Ἰουδαῖος	"Jew, Jewish"
ὁ νόμος	"law, principle"
παρά	"(+gen) from, by; (+dat) with; (+acc) beside"
γράφω	"to write, engrave, inscribe, record, paint"
ὡς	"as, like, while, that; (interjection) how!"
ὁ κόσμος	"world, mankind, earth; adornment, decoration"
καθώς	"as, just as, inasmuch as"
μέν	"indeed, on the one hand"
ἡ χείρ	hand
εὑρίσκω	to find
ὁ ἄγγελος	"messenger, angel"
ὁ ὄχλος	crowd; army; people
ἡ ἁμαρτία	"sin, sin offering"
τὸ ἔργον	work
ἡ δόξα	opinion; glory
ἄν	(particle) ever
ἡ πόλις	"city, town"
ἡ βασιλεία	kingdom
τὸ ἔθνος	"nation, people, Gentile"
*** 101 - 125 (/course/66563/koine-greek-3/5/)	
τότε	then
ἐσθίω	to eat
ὁ Παῦλος	Paul; Paulus
ἡ καρδία	heart
ὁ Πέτρος	Peter
ἄλλος	"other, another, otherwise"
ἡ χάρις	"grace, favor; gratitude; gift"
ἵστημι	"to stand, place, put"
πορεύομαι	to go
ὅστις	"who, which, whoever"
δέ	"but, and, now"
ὑπέρ	(+gen) for; (+acc) beyond; (adv) more
καλέω	"to call, summon, invite"
νῦν	"now, present"
ἡ σάρξ	"flesh, meat, body, sinful nature"
ἐγείρω	"to raise, lift up"
ὁ προφήτης	prophet
ἀγαπάω	to love
ἀφίημι	"to forgive, permit, free, neglect, abandon"
ὁ λαός	people
τὸ σῶμα	body; slave
πάλιν	again; in so far as
ζάω	to live
ἡ φωνή	"voice, sound, speech"
δύο	two
*** 126 - 150 (/course/66563/koine-greek-3/6/)	
ἡ ζωή	"life, living, way of life"
ὁ Ἰωάννης	John
ἀποστέλλω	to send
βλέπω	"to see, observe; have sight"
ἀμήν	amen (Heb. truly)
σύν	"(+dat) with, besides"
νεκρός	dead; corpse
ὁ δοῦλος	"slave; slavish, servile"
ὅταν	"when, whenever"
ὁ αἰών	"age, eternity"
ὁ ἀρχιερεύς	high priest; pontifex
βάλλω	"to throw, put"
ὁ θάνατος	death
ἡ δύναμις	"power, strength; authority; (military) force"
παραδίδωμι	"to deliver, deliver over"
μένω	"to remain, abide, stay"
ἀπέρχομαι	"to go away, depart"
ζητέω	"to seek, inquire"
ἡ ἀγάπη	love; Kiss of Peace
ὁ βασιλεύς	king
ἡ ἐκκλησία	"congregation, assembly, church"
ἴδιος	"one’s own, peculiar"
κρίνω	to judge
ὁ οἶκος	house (m)
ἀποθνῄσκω	to die
*** 151 - 175 (/course/66563/koine-greek-3/7/)	
ὅσος	"as many as, as much as"
ἡ ἀλήθεια	"truth, truthfulness, faithfulness"
μέλλω	to be about to; to linger
ὅλος	"whole, all"
παρακαλέω	"to urge, exhort, comfort"
ἀνίστημι	"to raise up, set up, resist, restore, arise"
ἕως	"until; when, up to, as far as"
σῴζω	to save
ἡ ὥρα	hour
ἐκεῖ	there
ὅτε	"when, while"
πῶς	how? in what way?
ἡ ψυχή	"soul, self, inner life"
ἀγαθός	good
ἡ ἐξουσία	"authority, power; tribunate"
αἴρω	to take up
δεῖ	it is necessary
ἡ ὁδός	"road, way"
ἀλλήλων	one another
καλός	"good, beautiful"
ὁ ὀφθαλμός	eye
τίθημι	"to put, make, appoint"
τὸ τέκνον	child
ἕτερος	"other, another"
οὐδέ	"and not, neither, nor, not even"
*** 176 - 200 (/course/66563/koine-greek-3/8/)	
ὁ Φαρισαῖος	Pharisee
τὸ αἷμα	blood; bloodshed
ὁ ἄρτος	"bread, loaf"
γεννάω	"to be father of, to bear, beget; engender"
διδάσκω	to teach
περιπατέω	"to walk, walk around"
πρῶτος	"first, prominent, former"
φοβέω	to fear
ἐνώπιον	"(+gen) before, in front of"
ἔτι	"yet, still, again"
ἡ οἰκία	house (f)
ὁ πούς	foot
ὁ τόπος	"place, position; opportunity; passage"
ἡ δικαιοσύνη	"righteousness, justice"
ἡ εἰρήνη	peace
ἡ θάλασσα	"sea, lake"
κάθημαι	"to sit, sit down; stay, reside, settle"
ἀκολουθέω	"to follow, go along with someone who takes the lead"
ἀπόλλυμι	"to destroy, ruin; to lose"
μηδείς	no; no one
πίπτω	to fall
ἑπτά	seven
οὔτε	neither
ἄρχω	to rule over; to begin (mid.) 
πληρόω	"to fill; fulfill; complete, finish"
*** 201 - 225 (/course/66563/koine-greek-3/9/)	
προσέρχομαι	to come to
ὁ καιρός	"time, season, opportunity"
προσεύχομαι	to pray
ἡ μήτηρ	mother
ὥστε	"so that, in order that, thus"
ἀναβαίνω	"to go up, rise up, advance"
ἕκαστος	"each, each person"
ὅπου	"where, whereas"
ἐκβάλλω	to cast out; send away
καταβαίνω	"to come down, go down"
μᾶλλον	"more, rather"
ὁ ἀπόστολος	apostle
ὁ Μωϋσῆς	Moses
δίκαιος	"righteous, just; right"
πέμπω	to send
ὑπάγω	to go away; to draw off
πονηρός	"wicked, evil"
τὸ στόμα	mouth
ἀνοίγω	"to open, unlock, disclose"
βαπτίζω	"to baptize, wash, dip"
ἡ Ἰερουσαλήμ	Jerusalem
τὸ σημεῖον	"sign, miracle"
ἐμός	my
τὸ εὐαγγέλιον	"good news, gospel"
μαρτυρέω	to bear witness; suffer martyrdom
*** 226 - 250 (/course/66563/koine-greek-3/10/)	
τὸ πρόσωπον	face
τὸ ὕδωρ	water
δώδεκα	twelve
ἡ κεφαλή	head
ὁ Σίμων	Simon
ἀποκτείνω	to kill
χαίρω	to rejoice; hail
ὁ Ἀβραάμ	Abraham
πίνω	to drink
τὸ φῶς	light
αἰώνιος	eternal
τὸ ἱερόν	temple
τὸ πῦρ	fire
αἰτέω	"to ask, ask for, demand"
μόνος	"only, alone"
τηρέω	"to keep, to guard; pay attention to, observe (e.g. commandments)"
τρεῖς	three
ὁ Ἰσραήλ	Israel
τὸ ῥῆμα	"word, thing"
τὸ σάββατον	"sabbath, week"
ἄγω	"bring, lead, go, celebrate"
ἡ ἐντολή	commandment
πιστός	"faithful, reliable, trustworthy"
τὸ πλοῖον	"boat, ship"
ἀπολύω	"to release, divorce"
*** 251 - 275 (/course/66563/koine-greek-3/11/)	
ὁ καρπός	fruit
πρεσβύτερος	older; elder
φέρω	"to bring, carry; (pass. be extant)"
φημί	to say
εἴτε	"or, either/or, even if"
ἐάν	(untransl. particle)
ὁ γραμματεύς	scribe
τὸ δαιμόνιον	demon
ἐρωτάω	"to ask, question"
τὸ ὄρος	"mountain, high hill"
δοκέω	"to think, suppose, seem"
τὸ θέλημα	"will, desire"
ὁ θρόνος	"throne, seat"
ἀγαπητός	beloved
ἡ Γαλιλαία	Galilee
δοξάζω	"to think, suppose; to glorify, extol, venerate"
ἤδη	"now, already"
τὸ Ἱεροσόλυμα	Jerusalem
κηρύσσω	"to proclaim, preach"
ἡ νύξ	night
ὧδε	"here; in this way, so, thus"
τὸ ἱμάτιον	garment
προσκυνέω	to fall down to worship; to do obeisance
πρῶτος	"first, prominent, former"
ὑπάρχω	"to be, exist; possess, have advantage"
*** 276 - 300 (/course/66563/koine-greek-3/12/)	
ἀσπάζομαι	to greet
ὁ Δαυίδ	David
ὁ διδάσκαλος	teacher
ὁ λίθος	stone
συνάγω	"to gather, bring together; compile"
ἡ χαρά	joy
θεωρέω	"to observe, see"
τοιοῦτος	"such, of such kind"
δέχομαι	"to take, receive"
ἐπερωτάω	"to ask, inquire, interrogate"
ἡ συναγωγή	"collection, gathering, synagogue"
ἡ ἀρχή	"beginning, first, principle; ruler, realm, rule"
κράζω	to call out; clamor; to croak
ὁ Πιλᾶτος	Pilate
δεξιός	"right, right hand"
εὐαγγελίζω	to proclaim good news
μέσος	middle; (prep +gen) in the middle; (adv) among
οὐχί	"not, no; interrogative expecting an affirmative answer"
ὁ χρόνος	time
διό	therefore
ἡ ἐλπίς	hope
ὅπως	"so that, in order that; how that"
ἡ ἐπαγγελία	promise
τὸ παιδίον	child
πείθω	to persuade; believe; trust
*** 301 - 325 (/course/66563/koine-greek-3/13/)	
σπείρω	to sow
εὐθύς	"immediately, next, suddenly"
ἡ σοφία	skill; wisdom
ἡ γλῶσσα	"tongue, language; bar, ingot"
ἡ γραφή	"written document, scripture"
ἔσχατος	last
κακός	"evil, bad, wrong, harm"
μακάριος	"blessed, happy"
μηδέ	"nor, and not"
ἡ παραβολή	proverb; poem; parable
τυφλός	blind
ἄρα	"then, therefore"
τὸ ἔτος	year
παραλαμβάνω	"to take, take along; take over, receive"
τρίτος	third
φανερόω	"to make known, reveal"
ἡ χρεία	"need, use, duty"
ἀποδίδωμι	"to give back, pay"
ἔρημος	"desolate; wilderness, desert"
ποῦ	where?
ἁμαρτωλός	"sinner, sinful"
κρατέω	"to grasp, be strong, take possession"
ἡ κρίσις	"judgment, decision, legal case; meaning"
οὐκέτι	no longer
πρό	"(+gen) before, above"
*** 326 - 350 (/course/66563/koine-greek-3/14/)	
προσφέρω	"to bring, to offer"
ὁ φόβος	"fear, terror; reverence"
ἡ φυλακή	"guard, watch, prison"
τὸ θηρίον	wild animal
