и	and
не	not
на	"(+pr) on, at; (+a) onto, to"
в	"(+pr) in; (+a) into, to"
я	I
он	he
с	"(+inst) with; (+g) from, off"
это	"this, that, it"
быть	"to be; there is, there are"
что	"what (interrogative pronoun), that (conjunction)"
а	"and, but (slight contrast)"
весь	all
они	they
как	"how, as, like"
она	she
мы	we
к (+d)	"towards, to"
у (+g)	by; at (used in ‘have’ construction)
вы	you (polite/pl)
этот	this
за	(+a) for; (+inst) behind
но	but
ты	you (familiar)
по (+d)	along; around; according to
тот	that (pronoun)
из (+g)	"out of, from"
о (+pr)	"about, concerning"
свой	one’s own (pronoun)
так	so
один	one
вот	"here, there (pointing)"
который	"which, who"
от (+g)	from
наш	our
только	only
ещё	"still, yet"
такой	such
мочь/с-	to be able
говорить/по- (с +inst)	"to speak; have a talk, talk (to)"
для (+g)	for
уже	already
говорить/сказать	to say
знать	to know (+a)
да	"yes; and, but"
какой	what (kind of)
когда	when
чтобы	in order to
другой	"different, other"
первый	first
его	"his, its"
год	year
дело	"matter, business"
нет	no; (+g) there is no
кто	who
её	her
очень	very
становиться/стать (+inst)	to become; stand; p: begin
большой	large
новый	new
работа	work
сейчас	"now, right now"
человек	person
идти/пойти	to go (on foot)
время	time
если	if
два	two
до (+g)	up to; until
мой	my
жизнь	life
где	where
хотеть/за-	to want
каждый	"each, every"
самый	"the very, most [not наиболее]"
здесь	here [not тут]
надо	it is necessary
раз	once; a time
люди	people
теперь	now
дом	house
там	there
день	day
или	or
город	"town, city"
слово	word
глаз	eye
видеть/у- (+a)	to see
потом	"then, next"
их	their
под (+inst)	under
даже	even
думать/по-	to think
хорошо	well; it is good
ли	whether [question word]
можно	it is possible
тут	here (like здесь)
тысяча	thousand
вода	water
ничто	nothing
рука	hand; arm
много (+g)	"much, many, a lot"
молодой	young [not юный]
тоже	too
спрашивать/спросить	to ask (s.o. about sth) (+a о +pr)
себя	self  [not сам]
без (+g)	without
делать/с-	"to do, make (+a)"
три	three
жить/по-	to live; p: live for a while
всё	all; all the time
то	that (pronoun); then (conjunction)
труд	labour
сам	self [not себя]
хороший	good
второй	2nd
через (+a)	"across, via, after"
двадцать	twenty
место	place
после (+g)	after
страна	country
ваш	your (pl or formal)
должен	"ought, obliged, must"
друг	friend
больше	more
дверь	door
машина	machine; car
комната	room
учиться	to study
почему	why
над (+inst)	above
голова	head
земля	"earth, land"
стол	table
тогда	"then, at that time"
давать/дать	to give (sth to s.o.) (+a +d)
перед (+inst)	"in front of, before"
сидеть/по-	to sit
мальчик	boy
девушка	girl
лето	summer; (after numbers) years
сегодня	today
маленький	small
сторона	side
совсем	completely
несколько (+g)	"a few, some"
вдруг	suddenly
ни	not a
лицо	face; person
конечно	of course
народ	(the) people
начинать/начать	to begin
вопрос	question
пять	five
ведь	you know (expecting agreement)
писать/на-	to write (+a)
письмо	letter
