*** October 2016 (/course/1337896/misc-russian-vocab/1/)	
перево́дчик	translator
змея́	snake
по́езд	train
ковёр	carpet
что́-то	something
тури́зм	tourism
кто́-то	someone
кто́-нибуд	anyone
что́-нибуд	anything
*** November 2016 (/course/1337896/misc-russian-vocab/2/)	
благодаре́ние	thanksgiving
оста́ться	"to stay, remain"
отче́ство	patronymic
мел	chalk
флома́стер	dry erase marker
ру́чка	pen (writing)
каранда́ш	pencil
чу́до	miracle
кру́то	cool (lit: steeply)
здо́рово	cool (lit: healthily)
ры́нок	(farmer's) market
*** December 2016 (/course/1337896/misc-russian-vocab/3/)	
звезда́	star
голо́дный	hungry
па́хнуть	to smell
за́пах	"smell, scent, odor"
фасо́ль	(green) bean
боб	bean
*** January 2017 (/course/1337896/misc-russian-vocab/4/)	
живо́тное	animal
воспита́ть	to raise (a child)
посеща́ть	to visit
отмеча́ть	to celebrate
гама́к	hammock
одеколо́н	(eau de) cologne
беко́н	bacon
нового́дний	New Year's
заро́к	resolution
Сре́дний Восто́к	The Middle East
барда́к	mess
мо́лния	lightning
потёмки	darkness
партнёр	partner
слог	syllable
ударе́ние	stress
че́реп	skull
сюрпри́з	suprise
оде́жда	clothing
весло́	"oar, paddle"
кра́сить	to paint (something)
лову́шка	trap
осторо́жный	careful (adj.)
кенгуру́	kangaroo
ва́фля	waffle
дру́жба	friendship
сту́лья	chairs
цвета́	colors
свитера́	sweaters
по́вар	cook
повара́	cooks
адреса́	address
учителя́	teachers
здоро́вый	healthy
двойни́к	doppelganger
уда́ча	"luck, success"
*** February 2017 (/course/1337896/misc-russian-vocab/5/)	
мёртвый	dead (adj.)
смерть	death
причи́на	"reason, cause"
плати́ть	to pay
ту́фля	shoe
ты́ква	"pumpkin, squash, gourd"
перево́зка	"shipping, transport"
мышь	mouse
сообщи́ть	to message
зано́с	snowdrift
шу́тка	joke
брак	marriage
обяза́тельство	commitment
на́сморк	(common) cold
выступле́ние	performance
спя́чка	sleepiness
нау́шники (pl.)	earphones
экра́н	(electronic) screen
отлича́ться	to excel; to differ
подде́рживать/поддержа́ть	to support
ортодокса́льный	Orthodox (adj.)
правосла́вие	orthodoxy
рели́гия 	religion
*** March 2017 (/course/1337896/misc-russian-vocab/6/)	
кла́виша	key (on keyboard)
наде́жда	hope
зашифрова́ть	to encode
руль	streering wheel
пусто́й	empty
ме́длить	to stall
испо́лнить*	to fulfill
кно́пка	button
осуществи́ться	to come true
стреми́ться	to strive
ве́ра	"faith, belief"
повторя́ть/повтори́ть	to repeat
мне хочется...	I feel like...
кошма́р	nightmare
вани́льный	vanilla (flavored)
марафо́н	marathon
случа́йно	accidentally
пешко́м	on foot
не стоит	it isn't worth (it)
не стояло	it wasn't worth (it)
*** April 2017 (/course/1337896/misc-russian-vocab/7/)	
босоно́жки	sandals
верблю́д	camel
соблюда́ть	to respect (the law)
моли́тва	prayer
доро́жка	(walking) trail
громкоговорящие	loudspeaker
устро́йство	device
*** May 2017 (/course/1337896/misc-russian-vocab/8/)	
обручённый	engaged
тума́н	fog
искуше́ние	temptation
*** June 2017 (/course/1337896/misc-russian-vocab/9/)	
сала́зки	sleigh
глота́ть	"to gulp, gobble"
жа́реный	"fried, roasted"
проро́к	prophet
жа́ловаться	to complain
зло	evil
жесто́кость	cruelty
наказа́ние	punishment
наси́лие	violence
спасти́	to save
беззако́ние	injustice
страда́ние	hardship
разруше́ние	destruction
рознь	strife
разла́д	disagreement
справедли́вость	fairness
нечестивый	unholy
верх	"front, face"
про́чный	vicious
суд	court (of law)
кра́йний	extreme (adj.)
изуми́ть	to astound
соверши́ть	to perform
неи́стовый	"furious, frenetic"
свире́пый	bloodthirsty
отнима́ть	to steal
жили́ще	(a) dwelling
гро́зный	fearsome
возвели́чивать	to extol
барс	leopard
тьма	darkness
ко́нница	cavalry
мча́ться	to rush
опо́ра	support
орёл	eagle
добы́ча	prey
грабёж	"robbery, heist"
по́лчище	horde
зно́йный	"torrid, scorching"
вихрь	"maelstrom, whirl, gale"
пле́нник	captive
издева́ться	to scoff
повели́тель 	overlord
кре́пость	fortress
насы́пать	to pour
престу́пный 	"criminal (adj.), blameworthy"
и́здревле	"anciently, of old"
веле́ть	"to order, command"
пригово́р	judgment
скала́	rock
кара́ть	"to punish, chastise"
вероло́мный	"faithless, treacherous"
поглоща́ть	"to engulf, devour, absorb"
уподо́бить	to compare
вытя́гивать	"to pull, draw, extract"
крюк	hook
не́вод	trawl (net)
весели́ться	to make merry
торже́ствовать	to triumph
благово́ние	frankincense
жи́рный	fatty
