*** Chapter 1 (/course/1296376/troika-all-vocab/1/)	
"актёр, актри́са"	"actor, actress"
арти́ст/ка	artist
астронáвт	astronaut
балери́на	ballerina
баскетболи́ст/ка	basketball player
господи́н	Mr.
госпожá	Ms.
дéти	children
доктор	doctor (in titles)
компози́тор	composer
космонáвт	cosmonaut
пиани́ст/ка	pianist
писáтель (m.)	writer
поэ́т	poet
президéнт	president
профéссор	professor
спортсмéн/ка	athlete
студéнт/ка	student
танцóр	dancer
тенниси́ст/ка	tennis player
тури́ст/ка	tourist
футболи́ст/ка	soccer player
хоккеи́ст/ка	hockey player
шахмати́ст/ка	chess player
америкáнский	American (adj.)
англи́йский	English (adj.)
канáдский	Canadian (adj.)
ру́сский	Russian (m. adj.)
известный	famous
неплохóй	not bad
плохóй	bad
"хорóший, -ая, -ее"	good
как	how
неплóхо	not badly
отли́чно	excellent
óчень	very
плóхо	badly
хорошó	well
меня́	me
тебя́	you (acc.)
егó	him
её	her
нас	us
вас	y'all (acc.)
их	them
кто	who
э́то	this is
а	"and, but"
да	yes
и	and
и́ли	or
не	not (negative within a sentence)
нет	no
спаси́бо	thank you
тóже	also
здрáвствуй/те	hello
привéт	hi
Пока	goodbye
*** Chapter 2 (/course/1296376/troika-all-vocab/2/)	
бáбушка	grandmother
брат	brother
внук	grandson
вну́чка	granddaughter
дéдушка	grandfather
дéти	children
дочь	daughter
дя́дя	uncle
женá	wife
мáма	mom
мать	mother
муж	husband
отéц	father
пáпа	dad
роди́тели	parents
семья́	family
сестрá	sister
сын	son
тётя	aunt
америкáнец	American (n.) (m.)
америкáнка	American (n.) (f.)
канáдец	Canadian (n.) (m.)
канáдка	Canadian (n.) (f.)
ру́сский	Russian (m. adj.)
ру́сская	Russian (f. adj.)
дéвушка	girl
друг	friend (m.)
подру́га	friend (f.)
преподавáтель	teacher (college level)
фотогрáфия	photograph
краси́вый	beautiful
молодóй	young
симпати́чный	nice (looking)
по-англи́йски	in English
по-испáнски	in Spanish
по-китáйски	in Chinese
по-немéтски	in German
по-ру́сски	in Russian
по-францу́зски	in French
по-япóнски	in Japanese
немнóго	a little
плóхо	badly
неплóхо	not badly
свобóдно	fluently
хорошó	well
нехорошó	not well
чуть-чуть	just a little
я	I
ты	you
он	he
онá	she
мы	we
вы	y'all
они́	they
"мой, моя́, моё"	my
"твой, твоя́, твоё"	your
егó	his
её	her
"наш, нáша, нáше"	our
"ваш, вáша, вáше"	y'all's
их	their
говори́ть (II)	to speak
ду́мать (I)	to think
знать (I)	to know
понимáть (I)	to understand
слу́шать (I)	to listen
читá|ть (I)	to read
бы́стро	fast
дóма	at home
ещё	still
и	and
интерéсно	interesting (adv.)
конéчно	of course
мéдленно	slowly
но	but
Ну что ты!	"Oh, come on!"
тáкже	"also, in addition"
тóлько	only
что	that
*** Chapter 3 (/course/1296376/troika-all-vocab/3/)	
газéта	newspaper
журнáл	magazine
кни́га	book
письмó	letter
ромáн	novel
словáрь (m.)	dictionary
учéбник	textbook
видеокáмера	videocamera
домáшний кинотеáтр	home theater
компью́тер	computer
моби́льник	cell phone
ноутбу́к	laptop
плéер	player
при́нтер	printer
рáдио	radio
стереосистéма	stereo system
телеви́зор	television
телефóн	telephone
фотоаппарáт	camera
велосипéд	bicycle
маши́на	car
мотоци́кл	motorcycle
кóшка	cat
лóшадь	horse
собáка	dog
войнá	war
вопрóс	question
дéвушка	girl
дéти	children
мир	peace
прáвда	truth
ребёнок (gen. ребёнка)	child
счáстье (щастье)	happiness
англи́йский	English
испáнский	Spanish
италья́нский	Italian
канáдский	Canadian (adj.)
китáйский	Chinese
мексикáнский	Mexican
немéцкий	German
францу́зский	French
япóнский	Japanese
бéлый	white
голубóй	light blue
жёлтый	yellow
зелёный	green
кои́чневый	brown
крáсный	red
орáнжевый	orange
рóзовый	pink
сéрый	gray
"си́ний, -яя, -ее"	blue
фиолéтовый	purple
чёрный	black
большóй	"big, large"
дешёвый	cheap
дорогóй	expensive (adj.)
еди́нственный	only
интерéсный	interesting (adj.)
какóй	"what, what kind"
краси́вый	beautiful
мáленький	"little, small"
млáдший	"younger, youngest (adj.)"
нóвый	new
ску́чный	"boring, dull (adj.)"
стáрый	old
"хорóший, -ая, -ее"	good
"чей, чья, чьё"	whose
есть	there is
лю́бить (II)	"to like, love"
купи́ть (II)	to buy (pf.)
хотéть	to want
ещё не	not yet
женáт	married (of a man)
зáмужем	married (of a woman)
мóжет быть	"maybe, perhaps"
отвéтьте на вопрóсы	answer the questions
по-мóему	in my opinion
"я соглáсен, -на"	I agree
у меня́ есть	I have
что	what
что такóе	what is
*** Chapter 4 (/course/1296376/troika-all-vocab/4/)	
аптéка	drugstore
банк	bank
библиотéка	library
больни́ца	hospital
гóрод	city
гости́ница	hotel
дом	house
здáние	building
кафé	cafe
кинотеáтр	movie theater
магази́н	store
метрó	subway
музéй	museum
парк	park
плóщадь (f.)	square
пóчта	post office
проспéкт	avenue
ресторáн	restaurant
сад (на саду)	garden
стади́он	stadium
теáтр	theater
у́лица	street
универмáг	department store
университéт	university
цéрковь (f.)	church
шкóла	school
балкóн	balcony
вáнная	bathroom
гарáж	garage
гости́ная	living room
дáча	"dacha, summer house"
дверь	door
дéтская	children's room
кабинéт	office
кварти́ра	apartment
кóмната	room
коридóр	corridor
ку́хня	kitchen
общежи́тие	residence hall
окнó	window
пол	floor
потолóк	ceiling
спáльня	bedroom
стенá	wall
столóвая	dining room
туалéт	toilet
этáж	"floor, level"
дивáн	sofa
икóна	icon
карти́на	painting
ковёр	rug
крéсло	armchair
кровáть	bed
лáмпа	lamp
плакáт	poster
пóлка	shelf
стол	table
стул	chair
шкаф (в шкафу)	cabinet
пи́сьменный	writing (adj.)
пи́сьменный стол	writing desk
кни́жный	book (adj.)
кни́жный шкаф	bookcase
кни́жная пóлка	bookshelf
онó	it
