*** 1 - 10 (/course/195609/spanish-nouns-1-2/1/)	
la parte	"part, portion, proportion"
el tiempo	"time, weather, period"
el año	year
la vida	"life, lifetime"
la forma	"form, shape, figure"
la vez	"time, turn, last (in queue)"
el señor	"mister/sir, master, lord"
el mundo	"world, a world of"
el lugar	"place, spot, site"
la ciudad	"city, town"
*** 11 - 20 (/course/195609/spanish-nouns-1-2/2/)	
el embargo	"embargo, seizure, attachment"
el trabajo	"labour, work, job"
el día	"day, daytime, daylight"
el as	"ace, as"
el país	"country, land"
el nombre	"name, noun, reputation"
el hombre	"man, human being"
el momento	moment
el grupo	"group, set, cluster"
la cuenta	"account, count, bill"
*** 21 - 30 (/course/195609/spanish-nouns-1-2/3/)	
el caso	"case, instance, fact"
el poder	power
el presidente	"president, chairman"
la historia	"story, history, record"
la casa	"home, house"
el acuerdo	"accord/accordance, agreement"
el sistema	"system, scheme"
el punto	"point, degree, spot"
el desarrollo	"development, developing, growth"
el fin	"end, last, ending"
*** 31 - 40 (/course/195609/spanish-nouns-1-2/4/)	
la situación	"situation, location, position"
el número	"number, issue, edition"
el tipo	"kind, type, sort"
el proceso	"process, trial, proceedings"
la población	population
la manera	"manner, fashion, way"
el partido	"party (pol.), game, match"
la muerte	"death, murder"
el estado	"state, status, statement"
la guerra	"war, warfare"
*** 41 - 50 (/course/195609/spanish-nouns-1-2/5/)	
la obra	"work, piece, oeuvre"
el pueblo	"village; people/folk, nation"
el equipo	"equipment, team, kit"
la política	"politics, policy, good manners"
la mujer	"woman, wife"
el gobierno	"government, administration"
el agua	water
la noche	"night, nighttime; melancholy"
el padre	"parent, father"
el modo	"mode, way, manner"
*** 51 - 60 (/course/195609/spanish-nouns-1-2/6/)	
la familia	"family, household"
el hecho	"fact, incident"
la relación	"relation, relationship, link"
la comisión	"commission, committee, task"
la zona	"zone, area; district"
el derecho	"right, law, entitlement"
la seguridad	"security, safety, certainty"
la serie	"series, range, set"
el sentido	"sense, meaning, direction"
el río	"river, stream"
*** 61 - 70 (/course/195609/spanish-nouns-1-2/7/)	
el informe	"report, reference, expert report/opinion"
el mercado	"market, marketplace, sales"
la información	"information, data, information desk"
la tierra	"earth, ground, land"
el hijo	son
el rey	"king, monarch"
el centro	"center, core, focus"
la mañana	"tomorrow, morning, the future"
la sociedad	"society, corporation, partnership"
el cuerpo	"body, corps, section"
*** 71 - 80 (/course/195609/spanish-nouns-1-2/8/)	
la mano	hand; first player
la gente	"people, folk"
el programa	"program, show, schedule"
la propuesta	"proposal, approach, offer"
el problema	"problem; trouble, issue"
el principio	"beginning, principle, start"
el uso	"use, utilization, usage"
la realidad	"reality, actuality"
la cosa	"thing, matter"
el cambio	"change, exchange, switch"
*** 81 - 90 (/course/195609/spanish-nouns-1-2/9/)	
la cabeza	"head, top, lead"
la cuestión	"question, issue, point"
el paso	"step, passage, path"
la madre	"mother, parent, Mother"
el proyecto	"project, plan, design"
el apoyo	"support, backing"
la mayoría	"majority, most, many"
la fuerza	"force, strength, power"
el papel	"paper, role, part"
la razón	"reason, rate, ratio"
*** 91 - 100 (/course/195609/spanish-nouns-1-2/10/)	
la producción	"production, output, yield"
el campo	"field, camp, pitch"
el debate	"debate, discussion"
la ayuda	"aid, assistance, help"
el valor	"value, worth, courage"
el futuro	future
el norte	north
la tía	"aunt, auntie, aunty"
el sur	"south, South, southern part"
la verdad	truth
*** 101 - 110 (/course/195609/spanish-nouns-1-2/11/)	
el camino	"road, path, way"
la voz	"voice, vocals, vocalist"
la hora	"hour, time, o'clock"
el base; la base	"basis (f), base (f), baseline (f)"
la falta	"lack, absence, fault"
la idea	"idea, thought, concept"
la persona	person
la región	"region, area"
el amor	love
el origen	"origin, source, provenance"
*** 111 - 120 (/course/195609/spanish-nouns-1-2/12/)	
la ley	"law, act, statute"
la provincia	province
el sector	"sector, section, area"
la música	music
el mal	"evil, wrong, ill"
la luz	"light, daylight, guiding light"
el lado	"side, end, place"
la época	"epoch, era, age"
la importancia	"importance, value"
el juego	"game, play, set"
*** 121 - 130 (/course/195609/spanish-nouns-1-2/13/)	
el ministro	"minister, secretary, Secretary of State"
el éxito	"success, achievement, hit"
la libertad	"liberty, freedom"
la palabra	"word, term, speech"
el control	"control, check, controller"
el objetivo	"objective, aim, target, goal"
el nivel	"level, standard, tier"
la posición	"position, location, stand"
el conjunto	"group, ensemble, whole, set"
el libro	book
*** 131 - 140 (/course/195609/spanish-nouns-1-2/14/)	
la decisión	"decision, verdict, determination"
el interés	"interest, attention"
el dinero	"money, wealth, fortune"
la acción	"action, act, acting"
el efecto	"effect, impact, stock"
la paz	peace
el don	"gift, talent, Mr."
la necesidad	"necessity, need, requirement"
el ciento	"hundred, one hundred"
la banda	"band, gang, side"
*** 141 - 150 (/course/195609/spanish-nouns-1-2/15/)	
el deber	"task/homework, obligation, duty"
la opinión	"opinion, view, judgement"
la atención	"attention, kindness, care"
el director	"director, head, executive manager"
la película	"film, movie, picture"
el resultado	"result, outcome, score"
la investigación	"investigation, research, inquiry"
la energía	"energy, power"
la lucha	"fight, battle, combat"
el tema	"theme, subject, topic"
*** 151 - 160 (/course/195609/spanish-nouns-1-2/16/)	
el pasado	(the) past
la empresa	"company, enterprise, firm"
el estudio	"studio, study, survey"
el inglés	"English, Englishman"
el artículo	"article, item, paper"
el resto	"rest, return, remainder"
la presencia	"presence, appearance"
el carácter	"character, personality, trait"
la construcción	"construction, structure, building"
el movimiento	"movement, move, motion"
*** 161 - 170 (/course/195609/spanish-nouns-1-2/17/)	
el espacio	"space, gap, spacing"
el municipio	"municipality, township"
la duda	"doubt, hesitation"
el ex; la ex	"former, ex"
la naturaleza	"nature, character, naturalness"
la carrera	"career, race, rush"
la dirección	"direction, address, management"
la actividad	"activity, state of being active, agenda"
la capacidad	"capacity, ability, power"
la edad	"age, years"
*** 171 - 180 (/course/195609/spanish-nouns-1-2/18/)	
la creación	"creation, making"
el capital; la capital	"capital (fin.)(m), capital (city)(f)"
el término	"term/concept, end, deadline"
la calidad	"quality, grade, trait"
el mes	"month, monthly payment, period"
la puerta	"gate, door, doorway"
el cabo	cape (geog.); ending
el servicio	"service, duty, serving"
la respuesta	"response, reply, answer"
el título	"title, degree, caption"
*** 181 - 190 (/course/195609/spanish-nouns-1-2/19/)	
la organización	"organization, body, society"
el tío	"uncle, guy, chap"
el miembro	"member, limb"
la posibilidad	"possibility, likelihood, chance"
la crisis	"crisis, fit, (cardiac arrest)"
el amigo	"friend, buddy"
la línea	"line, figure, route"
el corazón	"heart, centre, core"
el medio	"medium, average; half"
el presente	present
*** 191 - 200 (/course/195609/spanish-nouns-1-2/20/)	
el marco	"frame, framework, setting"
la comunicación	communication
la calle	"street, road, lane"
el territorio	territory
el ámbito	"scope, ambit, field"
la economía	"economy, economics"
la protección	protection
la unión	"union, joint, junction"
el objeto	"object, purpose, aim"
la temporada	"period/space of time, season"
*** 201 - 210 (/course/195609/spanish-nouns-1-2/21/)	
el arte; la arte	"art, craft, skill"
la semana	"week, work week, weekdays"
la cultura	culture
el estilo	"style, elegance, stroke"
el álbum	"album, album cover, sleeve"
la versión	"version, account"
la formación	"formation (educ.), education"
la cantidad	"amount, quantity, volume"
el aire	air
la salud	health
*** 211 - 220 (/course/195609/spanish-nouns-1-2/22/)	
el texto	"text, libretto"
el fondo	"depth/bottom, back, end"
el suelo	"soil, ground, floor"
la aplicación	"application/use, implementation, effort"
el jefe	"boss, chief, head"
la imagen	"image, picture, reflection"
el alma	"soul, heart, spirit"
la resolución	"resolution, decision, resolve"
el cargo	"position/post (work), charge, care"
la hija	daughter
*** 221 - 230 (/course/195609/spanish-nouns-1-2/23/)	
la defensa; el defensa	"defense (f), defender (m), defence UK (f)"
la clase	"class, kind, lesson"
la fecha	"date, day"
el color	"color, colour"
el público	"public, audience, spectators"
la existencia	"existence, life"
la televisión	television
el disco	"disc, record, CD"
el asunto	"subject, issue, matter"
la medida	"measure/action, measurement"
*** 231 - 240 (/course/195609/spanish-nouns-1-2/24/)	
la voluntad	"will, volition, willpower"
la tarde	afternoon; evening
la comunidad	"community, association, commune"
el orden; la orden	"order (f), command (f), sequence (m), warrant (f),"
el acceso	"access, entry, fit"
el autor	"author, perpetrator, writer"
el empleo	"employment, job, work"
la isla	"island, isle"
la especie	"species, sort/type, kind"
el período	"period, term, time"
*** 241 - 250 (/course/195609/spanish-nouns-1-2/25/)	
el final	"end, final, finish"
el oro	"gold, gold coin, gold jewelry"
el plan	plan
el deseo	"wish, desire, want"
el crecimiento	"growth, increase, development"
el motivo	"motive, reason, cause"
la causa	"cause, reason, case"
la referencia	"reference, mention, account"
la función	"function, purpose, performance"
la pregunta	"question, query"
*** 251 - 260 (/course/195609/spanish-nouns-1-2/26/)	
el hermano	"brother; pair, mate"
la experiencia	experience
el conocimiento	"knowledge, knowing, awareness"
el ejemplo	"example, illustration, instance"
la reunión	"reunion, meeting, gathering"
la dicha	"happiness, (good) luck"
el lío	"bundle; mess, fuss"
la participación	"participation, share, holding"
la industria	"industry, hard work"
la lengua	"tongue, language"
*** 261 - 270 (/course/195609/spanish-nouns-1-2/27/)	
la prensa	press
el ambiente	"environment, surroundings, atmosphere"
la reforma	"reform, reformation, refurbishing"
la vista	"sight, view, vista"
la entrada	"entrance, entry; input"
el policía; la policía	"police, police officer, police force"
el aspecto	"aspect, look, appearance"
la marcha	"march, progress, gear"
el ejército	"army, army force"
la educación	"education, school, upbringing"
*** 271 - 280 (/course/195609/spanish-nouns-1-2/28/)	
la prueba	"proof, trial, test"
el espíritu	"spirit, spirits, mind"
el comercio	"trade, commerce, trading"
el área	"area; surface, sphere"
la localidad	"location, locality, place"
la cara	"face, side, front"
el juicio	"judgement, discernment, sense"
el fuego	fire
el pie	"foot; bottom, base"
la vía	"way, track, line"
*** 281 - 290 (/course/195609/spanish-nouns-1-2/29/)	
el cuarto	"room, fourth, quarter"
el cine	"cinema, movies, movie theater"
la responsabilidad	"responsibility, liability, accountability"
el fútbol	"football, soccer"
la compañía	"company, companionship, firm"
la figura	"figure, note, leading figure"
el acto	"act, deed, event"
el viaje	"trip, journey, travel"
el sol	"sun, sunshine, sol"
el transporte	"transport, transportation, conveyance"
*** 291 - 300 (/course/195609/spanish-nouns-1-2/30/)	
el líder; la líder	leader
los humanos	"humans, people"
la sangre	"blood, bloodstream"
la mitad	"half, middle, midpoint"
la competencia	"competence, competition, proficiency"
la actualidad	"actuality; present, hot news"
la cooperación	"cooperation, mutual assistance"
la estructura	"structure, frame, build"
la campaña	"campaign, countryside, fields"
el tres	"three, third"
*** 301 - 310 (/course/195609/spanish-nouns-1-2/31/)	
el modelo	"model, pattern, prototype"
el régimen	"regime, regimen, government"
la canción	song
la justicia	"justice, law, fairness"
la oportunidad	"opportunity, chance, shot"
el club	"club, clubhouse"
el género	"genus, genre, gender"
el peque; la peque	"little boy, infant, child"
la solución	"solution, settlement, answer"
el personaje	"personage, character"
*** 311 - 320 (/course/195609/spanish-nouns-1-2/32/)	
la violencia	"violence, force, physical abuse"
la superficie	surface
el encuentro	"encounter, meeting, match"
la red	"network, web, grid"
la ocasión	"occasion, chance, opportunity"
el compromiso	"compromise, engagement, commitment"
el cielo	"sky, heaven, skies"
el jugador	"player, gambler"
la expresión	"expression, phrase"
el puesto	"post, stall, stand"
*** 321 - 330 (/course/195609/spanish-nouns-1-2/33/)	
el periodo	"period, term, time"
la gestión	"administration, business management"
la iglesia	church
la democracia	democracy
la influencia	influence
la batalla	"battle, fighting"
el sitio	"site, place, website"
el precio	"price, rate, cost"
la novela	"novel, romance, story"
la altura	"height, rise, elevation"
*** 331 - 340 (/course/195609/spanish-nouns-1-2/34/)	
el análisis	"analysis, review, test"
el peligro	"danger, hazard, peril"
el concepto	"concept, notion, conception"
el aumento	"increase, raise, magnification"
la carta	"letter, card, menu"
la edición	"editing, issue, edition"
el plazo	"deadline, term, time limit"
el escritor	"writer, author"
la conciencia	"conscience, awareness, consciousness"
el ejercicio	"exercise, practice, drill"
*** 341 - 350 (/course/195609/spanish-nouns-1-2/35/)	
la sede	"seat; (head)quarters , (central)office"
el grado	"degree, grade, stage"
el miedo	"fear, concern, apprehension"
la victoria	"victory, win, victoria"
la esposa	wife
el riesgo	"risk, danger, hazard"
la vuelta	"turn, spin, other/back  side"
la confianza	"confidence, trust, reliability"
la fuente	"fountain, source/spring, serving dish"
el silencio	"silence, quiet, still"
*** 351 - 360 (/course/195609/spanish-nouns-1-2/36/)	
el oeste	"west, West"
la ciencia	"science, knowledge, expertise"
el ataque	"attack, strike, assault"
el niño	"boy, kid, child"
la escuela	"school, schooling"
la oposición	"opposition, objection, competition"
el secretario	"secretary, clerk, registrar"
la suerte	"fate, luck, fortune"
la propiedad	"property, ownership, estate"
el terreno	"ground, terrain, land"
*** 361 - 370 (/course/195609/spanish-nouns-1-2/37/)	
el edificio	"building, edifice"
el esfuerzo	"effort, exertion, strain"
el respeto	"respect, regard, admiration"
la teoría	theory
la unidad	"unity, unit, oneness"
la materia	"matter, material, stuff"
el presupuesto	"budget, estimate, finances"
el contenido	"content, contents"
la etapa	"stage, phase, stretch"
el diálogo	"dialog, dialogue, conversation"
*** 371 - 380 (/course/195609/spanish-nouns-1-2/38/)	
el mil	"thousand, mil, one thousand"
la memoria	"memory, remembrance, report"
la distancia	"distance, range, reach"
la diferencia	"difference, gap, contrast"
la mesa	"table, board, bureau"
el conflicto	"conflict, dispute"
el caballo	"horse, vaulting horse, knight (chess)"
la fase	"phase, period, stage"
el producto	"product, produce, result"
el procedimiento	"procedure, process, method"
*** 381 - 390 (/course/195609/spanish-nouns-1-2/39/)	
la década	decade; set/series of ten
el departamento	"department, shop, flat"
el recurso	"recourse, resource, resort"
la legislación	legislation
el teatro	"theater, stage, drama"
la costa	"coast, cost, seashore"
la carne	"meat, flesh, pulp"
el pensamiento	"thought, thinking, pansy"
el verano	"summer, summertime, dry season"
el honor	"honor, honour, virtue"
*** 391 - 400 (/course/195609/spanish-nouns-1-2/40/)	
la salida	"exit, departure, output"
el peso	"weight, weighing, burden"
la división	"division, split, divergence"
la intención	"intention, intent, purpose"
la intervención	"intervention, interference, intercession"
el curso	"course, progress, grade"
la condición	"condition, state, proviso"
la estrategia	strategy
el siglo	"century, ""age/epoch"""
la selección	"selection, choice, assortment"
*** 401 - 410 (/course/195609/spanish-nouns-1-2/41/)	
la visita	visit; visitor(s)
el juez; la jueza	"judge, magistrate"
la votación	"voting, vote, poll"
el tamaño	size
la busca	search; (beeper/pager)
el material	"material, equipment, fabric"
el actor	"actor, performer, player"
la enfermedad	"illness, disease, sickness"
el destino	"destiny, fate, destination"
la pena	"pain, sorrow, trouble"
*** 411 - 420 (/course/195609/spanish-nouns-1-2/42/)	
la sentencia	"sentence/verdict, statement, judgment"
la independencia	independence
la plaza	"plaza/square, place"
el golpe	"coup, blow, stroke"
la boca	"mouth, entrance, exit"
la técnica	"technique, way, skill"
la actitud	"attitude, stance, pose"
la piedra	"stone, rock, crack"
el candidato	"candidate, applicant, nominee"
el respecto	"respect, regard"
*** 421 - 430 (/course/195609/spanish-nouns-1-2/43/)	
el par	"couple/pair, par; momentum (phys.)"
la revista	"magazine, journal, review"
la planta	"plant, sole (of the foot), floor"
la operación	"operation, transaction, surgery"
la llegada	"arrival, coming, finish"
la velocidad	"speed, velocity, rate"
el italiano	Italian
la evolución	"evolution, development, progress"
la página	"page (ex. book), chapter"
el matrimonio	"marriage, wedlock, matrimony"
*** 431 - 440 (/course/195609/spanish-nouns-1-2/44/)	
la misión	"mission, task, assignment"
la presión	"pressure, stress, press"
el premio	"award, prize, premium"
el profesor	"professor, teacher, tutor"
la escala	"scale, stopover, ladder"
la enmienda	"(proposal for) amendment, correction, emendation"
la declaración	"declaration, statement, return"
el terrorismo	terrorism
el poeta	poet
la mente	mind
*** 441 - 450 (/course/195609/spanish-nouns-1-2/45/)	
la estación	"station, season, resort"
la tarea	"task, homework, assignment"
la consecuencia	"consequence, effect, result"
el método	"method, means, way"
la crítica	"criticism, critique; review (book, film, etc)"
el lenguaje	"language, speech, communication system"
la ampliación	"amplification, extension, enlargement"
el dios	"god, deity, goddess"
el contacto	"contact, touch"
el barrio	"quarter, district, neighbourhood"
*** 451 - 460 (/course/195609/spanish-nouns-1-2/46/)	
el perro	dog
la frecuencia	"frequency, wave-band"
la mirada	"gaze, look, glance"
la jornada	"working day, day's journey, a day away"
el sueño	"sleep, dream, sleeping"
la derecha	"right, right hand, right side"
la tradición	tradition; extradition; handing over
la visión	"vision, (eye)sight, seeing"
el dolor	"pain; aching, grief"
la venta	"sale, sales"
*** 461 - 470 (/course/195609/spanish-nouns-1-2/47/)	
la fe	"faith, belief, religion"
el portavoz; la portavoz	"spokesperson, spokeswoman/man; megaphone"
el contexto	context
la literatura	literature
el documento	"document, paper, report"
la esperanza	"hope, expectation, confidence"
la colaboración	"collaboration, cooperation, contribution"
el reconocimiento	"recognition, appreciation, acknowledgment"
el consumo	"consumption, intake, consummation"
la representación	"representation, rendering, portrayal"
*** 471 - 480 (/course/195609/spanish-nouns-1-2/48/)	
la labor	"work, labour, task"
el interior	"interior, inside, inland"
el elemento	"element, factor, ingredient"
el rostro	"face, countenance, visage"
la autoridad	"authority, power"
la demanda	"demand, petition, request"
el voto	"vote, vow, vow of chastity"
el animal	"animal, beast"
la religión	religion
el domingo	Sunday
*** 481 - 490 (/course/195609/spanish-nouns-1-2/49/)	
la señora	"Mrs, madam, lady"
el viento	"wind, breeze"
la escena	"scene, stage, setting"
el reino	"kingdom, realm"
el tratamiento	"treatment, processing, process"
la financiación	"financing, funding, finance"
la cadena	"chain, string, network"
el intento	"intent(ion), attempt/try, effort"
la carga	"load, cargo, charge"
la disposición	"disposition, disposal, provision"
*** 491 - 500 (/course/195609/spanish-nouns-1-2/50/)	
la reina	queen
la administración	"administration, management, government"
el joven	"young woman/man, young"
el diseño	"design, designing, pattern"
el error	"mistake, error, fault"
el sonido	"sound, tone"
la elección	"election, selection, choice"
la filosofía	philosophy
la tecnología	technology
la sala	"hall, room, lounge"
*** 501 - 510 (/course/195609/spanish-nouns-1-2/51/)	
el instrumento	"instrument, tool; deed/document (law)"
la categoría	"category, grade, class"
el marido	"husband, spouse"
el discurso	"speech, discourse, address"
la agricultura	"agriculture, farming, agriculturalist"
la marca	"brand, mark, make"
la radio	"radio, radius, wireless"
el puerto	"port, harbour, refuge"
la fiesta	"feast, party, holiday"
la actuación	"acting, show/performance, action"
*** 511 - 520 (/course/195609/spanish-nouns-1-2/52/)	
el combate	"fight, combat, fighting"
la extensión	"extension, spreading, extent"
