*** 1 - 10 (/course/195613/spanish-nouns-4/1/)	
el pajecillo	little page
la manopla	"mitt, fingerless glove, mitten"
el pectoral	"pectoral, pectoral cross, player number"
el arrepentido	penitent
el gallardete	"pennant, pennon, burgee"
el peplo	peplum
el peticionario	"petitioner, claimant"
el ratero	"pickpocket, petty thief, sneak thief"
la palometa	pomfret
la psoriasis	psoriasis
*** 11 - 20 (/course/195613/spanish-nouns-4/2/)	
el recuperador	recuperator
la separata	"reprint, offprint, separate"
la jubilada	"retiree, senior citizen"
la friega	"rub, massage"
el satinado	satin finish
la umbría	the shady side
el mantecado	shortbread
los deportivos	sneakers
el mozuelo	"stripling, young boy"
la superintendencia	"superintendence, oversight"
*** 21 - 30 (/course/195613/spanish-nouns-4/3/)	
el taxímetro	taximeter
el magnetoscopio	VTR
el ambulatorio	"walk in clinic, outpatients clinic, outpatients department"
el encerado	"wax finish or coating, greenboard, whiteboard"
el casorio	wedding
el lupanar	"whorehouse, brothel, bawdy house"
la absurdidad	absurdity
la barcelonesa	woman from Barcelona
las comportas	behaviour
el descodificador	decoder
*** 31 - 40 (/course/195613/spanish-nouns-4/4/)	
la guanábana	soursop
(el)(la) fundamentalista	fundamentalist
el boquerón	anchovy
el patito	duckling
el prusiano	Prussian
el alforfón	buckwheat
la anafase	anaphase
el coladero	"strainer, colander"
el emú	emu
el etano	dimethyl
*** 41 - 50 (/course/195613/spanish-nouns-4/5/)	
la garriga	garrigue
el hieratismo	hieratic
la lasitud	lassitude
la lisura	"evenness, smoothness, rude remark"
el maderamen	timber
la melé	"scrum, ruck, scrummage"
el monofisismo	Monophysitism
la naftalina	"naphthalene, mothballs"
el permanganato	permanganate
la pillería	devilry
*** 51 - 60 (/course/195613/spanish-nouns-4/6/)	
la plausibilidad	plausibility
la prolina	proline
el sóleo	soleus
la toxicología	toxicology
(el)(la) zóster	zoster
la metempsicosis	metempsychosis
el bimotor	twin-engined aircraft
el barandal	"handrail, base support"
el docente	teacher
la accesión	accession
*** 61 - 70 (/course/195613/spanish-nouns-4/7/)	
la antigualla	antique
la maestranza	"armoury, armory, armourer"
el galardonado	award-winner
el balasto	ballast
el pajarraco	"big ugly bird, rogue, rascal"
la bombarda	"bombard, bombardon"
las creces	bulking up
el camafeo	cameo
el rebeco	chamois
el tapado	coat
*** 71 - 80 (/course/195613/spanish-nouns-4/8/)	
el repostero	coat of arms
la colitis	"colitis, diarrhoea"
la trituradora	"crusher, breaker, grinder"
la palabrota	"curse, oath, profanity"
el tajamar	"cutwater, mole"
el ebrio	"drunkard, inebriate"
el doblado	dub
el elevalunas	electric windows
la excrecencia	"excrescence, outgrowth"
la falsía	falsehood
*** 81 - 90 (/course/195613/spanish-nouns-4/9/)	
el patinazo	"gaffe, skid"
el hortelano	"gardener, ortolan bunting"
(el)(la) genetista	geneticist
el dorado	"gold finish, gilt, gilding"
la gorguera	"gorget, ruff"
la manecilla	"hand, hand-shaped sign, floor sign"
la manea	hobble
la giba	"hump, hunch"
la bellaquería	knavery
