*** 1 - 10 (/course/195614/spanish-nouns-5/1/)	
"el braquiópodo, el branquiópodo"	branchiopod
(el)(la) cabalista	cabalist
el pábilo	"(candle)wick, rudder stock"
la carpintera	carpenter (fem.)
la colecistitis	cholecystitis
el clon	clone; dead spit; clown
el costeño	coastal dweller (LatAM)
(el)(la) colaboracionista	collaborationist
el globito	(fig.) condom/preservative/rubber; small balloon
la conífera	conifer
*** 11 - 20 (/course/195614/spanish-nouns-5/2/)	
el compromisario	"mediator; elector, delegate (com)"
la Contrarreforma	Counter-reformation
el cuajado	curd
el grosellero	(black) currant (bush)
el deltoides	deltoid
el diabético	diabetic
el guaperas	"pretty boy, heart-throb"
la lavativa	nuisance; enema
(el)(la) exhibicionista	"exhibitionist, showman"
la limadura	"filing (s), swarf"
*** 21 - 30 (/course/195614/spanish-nouns-5/3/)	
la triza	"fragment, piece, shard (t)"
el colado	"(LatAm) gate crasher, cast"
la halitosis	halitosis
el disminuido	disabled person
la hesitación	hesitation
(el)(la) kuwaití	Kuwaiti
el lapón	"native/inhabitant of Lapland, Lapp"
la ratería	"(petty) thieving,  crookedness, dishonesty (r)"
el cortacésped	"lawn mower, mower, lawnmower"
el lusitano	Lusitanian/Portuguese
*** 31 - 40 (/course/195614/spanish-nouns-5/4/)	
la microfibrilla	microfibril
el ultraligero	microlight
la milhojas	millefeuille
el moldavo	Moldavian
el mustélido	"weasel, ferret"
el besuqueo	"kissing and cuddling, necking"
el bobalicón	"nitwit, dumbell"
el omnívoro	omnivore
el pedófilo	"paedophile, pedophile"
el pinnípedo	pinniped
*** 41 - 50 (/course/195614/spanish-nouns-5/5/)	
"el predador, la predadora"	predator
el conservante	preservative
la profanidad	profanity
(el)(la) prosista	"prose writer, prosaist"
la repoblacion	repopulation
el locatario	"tenant, rentner"
la croqueta	"croquette, roll, rissole"
la truhanería	roguery
el enarenado	sanded place
el sargo	seabream
*** 51 - 60 (/course/195614/spanish-nouns-5/6/)	
el escotoma	scotoma
el escudriñador	"scrutator, scrutinizer, scrutineer"
(el)(la) escita	Scythian
(el)(la) secesionista	secessionist
el apartadero	sidetrack
el gandul	"slacker, shirker, loafer"
el endrino	"sloe, blackthorn"
los jardincillos	small gardens
el mamporro	Smite
(el)(la) hispanohablante	Spanish speaker
*** 61 - 70 (/course/195614/spanish-nouns-5/7/)	
el zanco	stilt
la serpentina	"streamer, pennant"
el plumazo	"stroke of the pen, stroke of a pen, at a stroke"
el destiempo	studs
(el)(la) franquista	supporter of Franco
la rauda	swift
el sicofante	sycophant
el tabulador	"tabulator, tab key"
(el)(la) taxidermista	taxidermist
el terrazo	terrazzo
*** 71 - 80 (/course/195614/spanish-nouns-5/8/)	
los tiburtinos	Tiburtines
el trampero	trapper
el lavamiento	washing
la cabrilla	Wavelet
el licaón	wild dog
la muñequera	"wristband, toy-maker, doll-maker"
(el)(la) cafre	savage
la calenturienta	feverish
la chicana	Chicano
la ciudadana	citizen
*** 81 - 90 (/course/195614/spanish-nouns-5/9/)	
el cobayo	guinea pig
el junípero	juniper
la epidemióloga	epidemiologist
el aligustre	privet
(el)(la) matricida	matricide
la monárquica	"monarchist, royalist"
la musicóloga	musicologist
(el)(la) pugilista	"boxer, pugilist, prize fighter"
(el)(la) drogodependiente	drug addict
el fenogreco	fenugreek
*** 91 - 100 (/course/195614/spanish-nouns-5/10/)	
el avasallador	overwhelming
la velita	candle
el luterano	Lutheran
el palto	avocado
el cuásar	quasar
la hiniesta	broom
el sexagenario	sexagenarian
el silfo	sylph
el abalanzo	lunged
la aeromoza	"stewardess, air hostess"
*** 101 - 110 (/course/195614/spanish-nouns-5/11/)	
la afeminación	"effeminacy, camp"
el aleccionamiento	briefing
el aplicador	"applicator, person who applies sth"
la aromaticidad	aromaticity
la autoacusación	self-accusation
el aventón	"push, shove, lift"
la ayudita	little help
el batik	batik
